Row,Combination,Features,Column,C,Java,Delta,Delta %,Direction
127,"Granularity=minimal, Syntagm Type=CONJP",2,Result,0,0,0,0.00%,=
127,"Granularity=minimal, Syntagm Type=CONJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
128,"Granularity=minimal, Syntagm Type=INTJ",2,Result,0,0,0,0.00%,=
128,"Granularity=minimal, Syntagm Type=INTJ",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
129,"Granularity=minimal, Syntagm Type=NP",2,Result,50,98,+48,+96.00%,↑
129,"Granularity=minimal, Syntagm Type=NP",2,Frequency,2.37%,4.64%,+2.27%,+95.78%,↑
130,"Granularity=minimal, Syntagm Type=PP",2,Result,0,0,0,0.00%,=
130,"Granularity=minimal, Syntagm Type=PP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
131,"Granularity=minimal, Syntagm Type=PRT",2,Result,0,1,+1,+100.00%,↑
131,"Granularity=minimal, Syntagm Type=PRT",2,Frequency,0.00%,4.35%,+4.35%,+100.00%,↑
132,"Granularity=minimal, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
132,"Granularity=minimal, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
133,"Granularity=minimal, Syntagm Type=SBAR",2,Result,1,12,+11,+1100.00%,↑
133,"Granularity=minimal, Syntagm Type=SBAR",2,Frequency,0.58%,6.94%,+6.36%,+1096.55%,↑
134,"Granularity=minimal, Syntagm Type=VP",2,Result,1,2,+1,+100.00%,↑
134,"Granularity=minimal, Syntagm Type=VP",2,Frequency,1.05%,2.11%,+1.06%,+100.95%,↑
135,"Granularity=minimal, Syntagm Type=WHADVP",2,Result,0,2,+2,+100.00%,↑
135,"Granularity=minimal, Syntagm Type=WHADVP",2,Frequency,0.00%,7.41%,+7.41%,+100.00%,↑
136,"Granularity=minimal, Syntagm Type=WHNP",2,Result,4,7,+3,+75.00%,↑
136,"Granularity=minimal, Syntagm Type=WHNP",2,Frequency,4.40%,7.69%,+3.29%,+74.77%,↑
137,"Sentence Index=0, Syntagm Type=ADJP",2,Result,2,1,-1,-50.00%,↓
137,"Sentence Index=0, Syntagm Type=ADJP",2,Frequency,8.70%,4.35%,-4.35%,-50.00%,↓
138,"Sentence Index=0, Syntagm Type=ADVP",2,Result,0,2,+2,+100.00%,↑
138,"Sentence Index=0, Syntagm Type=ADVP",2,Frequency,0.00%,6.45%,+6.45%,+100.00%,↑
139,"Sentence Index=0, Syntagm Type=CONJP",2,Result,0,0,0,0.00%,=
139,"Sentence Index=0, Syntagm Type=CONJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
140,"Sentence Index=0, Syntagm Type=INTJ",2,Result,0,0,0,0.00%,=
140,"Sentence Index=0, Syntagm Type=INTJ",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
141,"Sentence Index=0, Syntagm Type=NP",2,Result,35,78,+43,+122.86%,↑
141,"Sentence Index=0, Syntagm Type=NP",2,Frequency,1.97%,4.40%,+2.43%,+123.35%,↑
142,"Sentence Index=0, Syntagm Type=PP",2,Result,9,28,+19,+211.11%,↑
142,"Sentence Index=0, Syntagm Type=PP",2,Frequency,1.74%,5.43%,+3.69%,+212.07%,↑
143,"Sentence Index=0, Syntagm Type=PRT",2,Result,0,1,+1,+100.00%,↑
143,"Sentence Index=0, Syntagm Type=PRT",2,Frequency,0.00%,6.67%,+6.67%,+100.00%,↑
144,"Sentence Index=0, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
144,"Sentence Index=0, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
145,"Sentence Index=0, Syntagm Type=SBAR",2,Result,2,9,+7,+350.00%,↑
145,"Sentence Index=0, Syntagm Type=SBAR",2,Frequency,1.10%,4.95%,+3.85%,+350.00%,↑
146,"Sentence Index=0, Syntagm Type=VP",2,Result,13,17,+4,+30.77%,↑
146,"Sentence Index=0, Syntagm Type=VP",2,Frequency,3.37%,4.40%,+1.03%,+30.56%,↑
147,"Sentence Index=0, Syntagm Type=WHADVP",2,Result,0,1,+1,+100.00%,↑
147,"Sentence Index=0, Syntagm Type=WHADVP",2,Frequency,0.00%,5.26%,+5.26%,+100.00%,↑
148,"Sentence Index=0, Syntagm Type=WHNP",2,Result,2,5,+3,+150.00%,↑
148,"Sentence Index=0, Syntagm Type=WHNP",2,Frequency,2.63%,6.58%,+3.95%,+150.19%,↑
149,"Sentence Index=1, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
149,"Sentence Index=1, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
150,"Sentence Index=1, Syntagm Type=ADVP",2,Result,3,1,-2,-66.67%,↓
150,"Sentence Index=1, Syntagm Type=ADVP",2,Frequency,37.50%,12.50%,-25.00%,-66.67%,↓
151,"Sentence Index=1, Syntagm Type=NP",2,Result,10,13,+3,+30.00%,↑
151,"Sentence Index=1, Syntagm Type=NP",2,Frequency,3.53%,4.59%,+1.06%,+30.03%,↑
152,"Sentence Index=1, Syntagm Type=PP",2,Result,2,1,-1,-50.00%,↓
152,"Sentence Index=1, Syntagm Type=PP",2,Frequency,3.03%,1.52%,-1.51%,-49.83%,↓
153,"Sentence Index=1, Syntagm Type=PRT",2,Result,0,0,0,0.00%,=
153,"Sentence Index=1, Syntagm Type=PRT",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
154,"Sentence Index=1, Syntagm Type=SBAR",2,Result,0,5,+5,+100.00%,↑
154,"Sentence Index=1, Syntagm Type=SBAR",2,Frequency,0.00%,12.20%,+12.20%,+100.00%,↑
155,"Sentence Index=1, Syntagm Type=VP",2,Result,3,3,0,0.00%,=
155,"Sentence Index=1, Syntagm Type=VP",2,Frequency,2.54%,2.54%,0.00%,0.00%,=
156,"Sentence Index=1, Syntagm Type=WHADVP",2,Result,0,0,0,0.00%,=
156,"Sentence Index=1, Syntagm Type=WHADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
157,"Sentence Index=1, Syntagm Type=WHNP",2,Result,2,1,-1,-50.00%,↓
157,"Sentence Index=1, Syntagm Type=WHNP",2,Frequency,25.00%,12.50%,-12.50%,-50.00%,↓
158,"Sentence Index=2, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
158,"Sentence Index=2, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
159,"Sentence Index=2, Syntagm Type=ADVP",2,Result,0,0,0,0.00%,=
159,"Sentence Index=2, Syntagm Type=ADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
160,"Sentence Index=2, Syntagm Type=NP",2,Result,4,13,+9,+225.00%,↑
160,"Sentence Index=2, Syntagm Type=NP",2,Frequency,1.84%,5.99%,+4.15%,+225.54%,↑
161,"Sentence Index=2, Syntagm Type=PP",2,Result,0,2,+2,+100.00%,↑
161,"Sentence Index=2, Syntagm Type=PP",2,Frequency,0.00%,4.44%,+4.44%,+100.00%,↑
162,"Sentence Index=2, Syntagm Type=PRT",2,Result,0,0,0,0.00%,=
162,"Sentence Index=2, Syntagm Type=PRT",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
163,"Sentence Index=2, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
163,"Sentence Index=2, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
164,"Sentence Index=2, Syntagm Type=SBAR",2,Result,0,1,+1,+100.00%,↑
164,"Sentence Index=2, Syntagm Type=SBAR",2,Frequency,0.00%,2.63%,+2.63%,+100.00%,↑
165,"Sentence Index=2, Syntagm Type=VP",2,Result,1,0,-1,-100.00%,↓
165,"Sentence Index=2, Syntagm Type=VP",2,Frequency,1.08%,0.00%,-1.08%,-100.00%,↓
166,"Sentence Index=2, Syntagm Type=WHADVP",2,Result,0,1,+1,+100.00%,↑
166,"Sentence Index=2, Syntagm Type=WHADVP",2,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
167,"Sentence Index=2, Syntagm Type=WHNP",2,Result,0,1,+1,+100.00%,↑
167,"Sentence Index=2, Syntagm Type=WHNP",2,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
168,"Sentence Index=3, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
168,"Sentence Index=3, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
169,"Sentence Index=3, Syntagm Type=ADVP",2,Result,0,0,0,0.00%,=
169,"Sentence Index=3, Syntagm Type=ADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
170,"Sentence Index=3, Syntagm Type=NP",2,Result,4,1,-3,-75.00%,↓
170,"Sentence Index=3, Syntagm Type=NP",2,Frequency,3.51%,0.88%,-2.63%,-74.93%,↓
171,"Sentence Index=3, Syntagm Type=PP",2,Result,0,1,+1,+100.00%,↑
171,"Sentence Index=3, Syntagm Type=PP",2,Frequency,0.00%,4.55%,+4.55%,+100.00%,↑
172,"Sentence Index=3, Syntagm Type=PRT",2,Result,0,0,0,0.00%,=
172,"Sentence Index=3, Syntagm Type=PRT",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
173,"Sentence Index=3, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
173,"Sentence Index=3, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
174,"Sentence Index=3, Syntagm Type=VP",2,Result,0,3,+3,+100.00%,↑
174,"Sentence Index=3, Syntagm Type=VP",2,Frequency,0.00%,7.14%,+7.14%,+100.00%,↑
175,"Sentence Index=3, Syntagm Type=WHADVP",2,Result,0,0,0,0.00%,=
175,"Sentence Index=3, Syntagm Type=WHADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
176,"Sentence Index=3, Syntagm Type=WHNP",2,Result,0,0,0,0.00%,=
176,"Sentence Index=3, Syntagm Type=WHNP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
177,"Sentence Index=4, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
177,"Sentence Index=4, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
178,"Sentence Index=4, Syntagm Type=ADVP",2,Result,0,0,0,0.00%,=
178,"Sentence Index=4, Syntagm Type=ADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
179,"Sentence Index=4, Syntagm Type=NP",2,Result,0,1,+1,+100.00%,↑
179,"Sentence Index=4, Syntagm Type=NP",2,Frequency,0.00%,3.23%,+3.23%,+100.00%,↑
180,"Sentence Index=4, Syntagm Type=PP",2,Result,0,0,0,0.00%,=
180,"Sentence Index=4, Syntagm Type=PP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
181,"Sentence Index=4, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
181,"Sentence Index=4, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
182,"Sentence Index=4, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
182,"Sentence Index=4, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
183,"Sentence Index=4, Syntagm Type=WHNP",2,Result,0,0,0,0.00%,=
183,"Sentence Index=4, Syntagm Type=WHNP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
184,"Sentence Index=5, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
184,"Sentence Index=5, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
185,"Sentence Index=5, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
185,"Sentence Index=5, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
186,"Sentence Index=5, Syntagm Type=PP",2,Result,0,0,0,0.00%,=
186,"Sentence Index=5, Syntagm Type=PP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
187,"Sentence Index=5, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
187,"Sentence Index=5, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
188,"Sentence Index=5, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
188,"Sentence Index=5, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
189,"Sentence Index=6, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
189,"Sentence Index=6, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
190,"Sentence Index=6, Syntagm Type=PP",2,Result,0,0,0,0.00%,=
190,"Sentence Index=6, Syntagm Type=PP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
191,"Sentence Index=6, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
191,"Sentence Index=6, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
192,"Sentence Index=6, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
192,"Sentence Index=6, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
193,"Sentence Index=7, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
193,"Sentence Index=7, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
194,"Sentence Index=7, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
194,"Sentence Index=7, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
195,"Sentence Index=7, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
195,"Sentence Index=7, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
196,"Sentence Index=8, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
196,"Sentence Index=8, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
197,"Sentence Index=8, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
197,"Sentence Index=8, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
198,"Sentence Index=9, Syntagm Type=NP",2,Result,0,5,+5,+100.00%,↑
198,"Sentence Index=9, Syntagm Type=NP",2,Frequency,0.00%,250.00%,+250.00%,+100.00%,↑
199,"Sentence Index=9, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
199,"Sentence Index=9, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
