Row,Combination,Features,Column,Java,Python,Delta,Delta %,Direction
124,"Granularity=minimal, Sentence Index=9, Syntagm Type=NP",3,Frequency,250.00%,0.00%,-250.00%,-100.00%,↓
125,"Granularity=minimal, Syntagm Type=ADJP",2,Result,1,7,+6,+600.00%,↑
125,"Granularity=minimal, Syntagm Type=ADJP",2,Frequency,2.33%,16.28%,+13.95%,+598.71%,↑
126,"Granularity=minimal, Syntagm Type=ADVP",2,Result,2,14,+12,+600.00%,↑
126,"Granularity=minimal, Syntagm Type=ADVP",2,Frequency,4.00%,28.00%,+24.00%,+600.00%,↑
127,"Granularity=minimal, Syntagm Type=CONJP",2,Result,0,1,+1,+100.00%,↑
127,"Granularity=minimal, Syntagm Type=CONJP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
128,"Granularity=minimal, Syntagm Type=INTJ",2,Result,0,0,0,0.00%,=
128,"Granularity=minimal, Syntagm Type=INTJ",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
129,"Granularity=minimal, Syntagm Type=NP",2,Result,98,418,+320,+326.53%,↑
129,"Granularity=minimal, Syntagm Type=NP",2,Frequency,4.64%,19.81%,+15.17%,+326.94%,↑
130,"Granularity=minimal, Syntagm Type=PP",2,Result,0,1,+1,+100.00%,↑
130,"Granularity=minimal, Syntagm Type=PP",2,Frequency,0.00%,7.14%,+7.14%,+100.00%,↑
131,"Granularity=minimal, Syntagm Type=PRT",2,Result,1,7,+6,+600.00%,↑
131,"Granularity=minimal, Syntagm Type=PRT",2,Frequency,4.35%,30.43%,+26.08%,+599.54%,↑
132,"Granularity=minimal, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
132,"Granularity=minimal, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
133,"Granularity=minimal, Syntagm Type=SBAR",2,Result,12,32,+20,+166.67%,↑
133,"Granularity=minimal, Syntagm Type=SBAR",2,Frequency,6.94%,18.50%,+11.56%,+166.57%,↑
134,"Granularity=minimal, Syntagm Type=VP",2,Result,2,18,+16,+800.00%,↑
134,"Granularity=minimal, Syntagm Type=VP",2,Frequency,2.11%,18.95%,+16.84%,+798.10%,↑
135,"Granularity=minimal, Syntagm Type=WHADVP",2,Result,2,8,+6,+300.00%,↑
135,"Granularity=minimal, Syntagm Type=WHADVP",2,Frequency,7.41%,29.63%,+22.22%,+299.87%,↑
136,"Granularity=minimal, Syntagm Type=WHNP",2,Result,7,20,+13,+185.71%,↑
136,"Granularity=minimal, Syntagm Type=WHNP",2,Frequency,7.69%,21.98%,+14.29%,+185.83%,↑
137,"Sentence Index=0, Syntagm Type=ADJP",2,Result,1,1,0,0.00%,=
137,"Sentence Index=0, Syntagm Type=ADJP",2,Frequency,4.35%,4.35%,0.00%,0.00%,=
138,"Sentence Index=0, Syntagm Type=ADVP",2,Result,2,2,0,0.00%,=
138,"Sentence Index=0, Syntagm Type=ADVP",2,Frequency,6.45%,6.45%,0.00%,0.00%,=
139,"Sentence Index=0, Syntagm Type=CONJP",2,Result,0,1,+1,+100.00%,↑
139,"Sentence Index=0, Syntagm Type=CONJP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
140,"Sentence Index=0, Syntagm Type=INTJ",2,Result,0,0,0,0.00%,=
140,"Sentence Index=0, Syntagm Type=INTJ",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
141,"Sentence Index=0, Syntagm Type=NP",2,Result,78,244,+166,+212.82%,↑
141,"Sentence Index=0, Syntagm Type=NP",2,Frequency,4.40%,13.75%,+9.35%,+212.50%,↑
142,"Sentence Index=0, Syntagm Type=PP",2,Result,28,59,+31,+110.71%,↑
142,"Sentence Index=0, Syntagm Type=PP",2,Frequency,5.43%,11.43%,+6.00%,+110.50%,↑
143,"Sentence Index=0, Syntagm Type=PRT",2,Result,1,3,+2,+200.00%,↑
143,"Sentence Index=0, Syntagm Type=PRT",2,Frequency,6.67%,20.00%,+13.33%,+199.85%,↑
144,"Sentence Index=0, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
144,"Sentence Index=0, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
145,"Sentence Index=0, Syntagm Type=SBAR",2,Result,9,25,+16,+177.78%,↑
145,"Sentence Index=0, Syntagm Type=SBAR",2,Frequency,4.95%,13.74%,+8.79%,+177.58%,↑
146,"Sentence Index=0, Syntagm Type=VP",2,Result,17,49,+32,+188.24%,↑
146,"Sentence Index=0, Syntagm Type=VP",2,Frequency,4.40%,12.69%,+8.29%,+188.41%,↑
147,"Sentence Index=0, Syntagm Type=WHADVP",2,Result,1,4,+3,+300.00%,↑
147,"Sentence Index=0, Syntagm Type=WHADVP",2,Frequency,5.26%,21.05%,+15.79%,+300.19%,↑
148,"Sentence Index=0, Syntagm Type=WHNP",2,Result,5,15,+10,+200.00%,↑
148,"Sentence Index=0, Syntagm Type=WHNP",2,Frequency,6.58%,19.74%,+13.16%,+200.00%,↑
149,"Sentence Index=1, Syntagm Type=ADJP",2,Result,0,3,+3,+100.00%,↑
149,"Sentence Index=1, Syntagm Type=ADJP",2,Frequency,0.00%,27.27%,+27.27%,+100.00%,↑
150,"Sentence Index=1, Syntagm Type=ADVP",2,Result,1,3,+2,+200.00%,↑
150,"Sentence Index=1, Syntagm Type=ADVP",2,Frequency,12.50%,37.50%,+25.00%,+200.00%,↑
151,"Sentence Index=1, Syntagm Type=NP",2,Result,13,72,+59,+453.85%,↑
151,"Sentence Index=1, Syntagm Type=NP",2,Frequency,4.59%,25.44%,+20.85%,+454.25%,↑
152,"Sentence Index=1, Syntagm Type=PP",2,Result,1,15,+14,+1400.00%,↑
152,"Sentence Index=1, Syntagm Type=PP",2,Frequency,1.52%,22.73%,+21.21%,+1395.39%,↑
153,"Sentence Index=1, Syntagm Type=PRT",2,Result,0,3,+3,+100.00%,↑
153,"Sentence Index=1, Syntagm Type=PRT",2,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
154,"Sentence Index=1, Syntagm Type=SBAR",2,Result,5,5,0,0.00%,=
154,"Sentence Index=1, Syntagm Type=SBAR",2,Frequency,12.20%,12.20%,0.00%,0.00%,=
155,"Sentence Index=1, Syntagm Type=VP",2,Result,3,32,+29,+966.67%,↑
155,"Sentence Index=1, Syntagm Type=VP",2,Frequency,2.54%,27.12%,+24.58%,+967.72%,↑
156,"Sentence Index=1, Syntagm Type=WHADVP",2,Result,0,0,0,0.00%,=
156,"Sentence Index=1, Syntagm Type=WHADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
157,"Sentence Index=1, Syntagm Type=WHNP",2,Result,1,3,+2,+200.00%,↑
157,"Sentence Index=1, Syntagm Type=WHNP",2,Frequency,12.50%,37.50%,+25.00%,+200.00%,↑
158,"Sentence Index=2, Syntagm Type=ADJP",2,Result,0,3,+3,+100.00%,↑
158,"Sentence Index=2, Syntagm Type=ADJP",2,Frequency,0.00%,37.50%,+37.50%,+100.00%,↑
159,"Sentence Index=2, Syntagm Type=ADVP",2,Result,0,3,+3,+100.00%,↑
159,"Sentence Index=2, Syntagm Type=ADVP",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
160,"Sentence Index=2, Syntagm Type=NP",2,Result,13,76,+63,+484.62%,↑
160,"Sentence Index=2, Syntagm Type=NP",2,Frequency,5.99%,35.02%,+29.03%,+484.64%,↑
161,"Sentence Index=2, Syntagm Type=PP",2,Result,2,18,+16,+800.00%,↑
161,"Sentence Index=2, Syntagm Type=PP",2,Frequency,4.44%,40.00%,+35.56%,+800.90%,↑
162,"Sentence Index=2, Syntagm Type=PRT",2,Result,0,0,0,0.00%,=
162,"Sentence Index=2, Syntagm Type=PRT",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
163,"Sentence Index=2, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
163,"Sentence Index=2, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
164,"Sentence Index=2, Syntagm Type=SBAR",2,Result,1,13,+12,+1200.00%,↑
164,"Sentence Index=2, Syntagm Type=SBAR",2,Frequency,2.63%,34.21%,+31.58%,+1200.76%,↑
165,"Sentence Index=2, Syntagm Type=VP",2,Result,0,36,+36,+100.00%,↑
165,"Sentence Index=2, Syntagm Type=VP",2,Frequency,0.00%,38.71%,+38.71%,+100.00%,↑
166,"Sentence Index=2, Syntagm Type=WHADVP",2,Result,1,4,+3,+300.00%,↑
166,"Sentence Index=2, Syntagm Type=WHADVP",2,Frequency,20.00%,80.00%,+60.00%,+300.00%,↑
167,"Sentence Index=2, Syntagm Type=WHNP",2,Result,1,1,0,0.00%,=
167,"Sentence Index=2, Syntagm Type=WHNP",2,Frequency,20.00%,20.00%,0.00%,0.00%,=
168,"Sentence Index=3, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
168,"Sentence Index=3, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
169,"Sentence Index=3, Syntagm Type=ADVP",2,Result,0,5,+5,+100.00%,↑
169,"Sentence Index=3, Syntagm Type=ADVP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
170,"Sentence Index=3, Syntagm Type=NP",2,Result,1,50,+49,+4900.00%,↑
170,"Sentence Index=3, Syntagm Type=NP",2,Frequency,0.88%,43.86%,+42.98%,+4884.09%,↑
171,"Sentence Index=3, Syntagm Type=PP",2,Result,1,11,+10,+1000.00%,↑
171,"Sentence Index=3, Syntagm Type=PP",2,Frequency,4.55%,50.00%,+45.45%,+998.90%,↑
172,"Sentence Index=3, Syntagm Type=PRT",2,Result,0,1,+1,+100.00%,↑
172,"Sentence Index=3, Syntagm Type=PRT",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
173,"Sentence Index=3, Syntagm Type=SBAR",2,Result,0,6,+6,+100.00%,↑
173,"Sentence Index=3, Syntagm Type=SBAR",2,Frequency,0.00%,35.29%,+35.29%,+100.00%,↑
174,"Sentence Index=3, Syntagm Type=VP",2,Result,3,14,+11,+366.67%,↑
174,"Sentence Index=3, Syntagm Type=VP",2,Frequency,7.14%,33.33%,+26.19%,+366.81%,↑
175,"Sentence Index=3, Syntagm Type=WHADVP",2,Result,0,0,0,0.00%,=
175,"Sentence Index=3, Syntagm Type=WHADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
176,"Sentence Index=3, Syntagm Type=WHNP",2,Result,0,0,0,0.00%,=
176,"Sentence Index=3, Syntagm Type=WHNP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
177,"Sentence Index=4, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
177,"Sentence Index=4, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
178,"Sentence Index=4, Syntagm Type=ADVP",2,Result,0,3,+3,+100.00%,↑
178,"Sentence Index=4, Syntagm Type=ADVP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
179,"Sentence Index=4, Syntagm Type=NP",2,Result,1,17,+16,+1600.00%,↑
179,"Sentence Index=4, Syntagm Type=NP",2,Frequency,3.23%,54.84%,+51.61%,+1597.83%,↑
180,"Sentence Index=4, Syntagm Type=PP",2,Result,0,2,+2,+100.00%,↑
180,"Sentence Index=4, Syntagm Type=PP",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
181,"Sentence Index=4, Syntagm Type=SBAR",2,Result,0,2,+2,+100.00%,↑
181,"Sentence Index=4, Syntagm Type=SBAR",2,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
182,"Sentence Index=4, Syntagm Type=VP",2,Result,0,8,+8,+100.00%,↑
182,"Sentence Index=4, Syntagm Type=VP",2,Frequency,0.00%,42.11%,+42.11%,+100.00%,↑
183,"Sentence Index=4, Syntagm Type=WHNP",2,Result,0,1,+1,+100.00%,↑
183,"Sentence Index=4, Syntagm Type=WHNP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
184,"Sentence Index=5, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
184,"Sentence Index=5, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
185,"Sentence Index=5, Syntagm Type=NP",2,Result,0,4,+4,+100.00%,↑
185,"Sentence Index=5, Syntagm Type=NP",2,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
186,"Sentence Index=5, Syntagm Type=PP",2,Result,0,1,+1,+100.00%,↑
186,"Sentence Index=5, Syntagm Type=PP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
187,"Sentence Index=5, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
187,"Sentence Index=5, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
188,"Sentence Index=5, Syntagm Type=VP",2,Result,0,3,+3,+100.00%,↑
188,"Sentence Index=5, Syntagm Type=VP",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
189,"Sentence Index=6, Syntagm Type=NP",2,Result,0,4,+4,+100.00%,↑
189,"Sentence Index=6, Syntagm Type=NP",2,Frequency,0.00%,44.44%,+44.44%,+100.00%,↑
190,"Sentence Index=6, Syntagm Type=PP",2,Result,0,0,0,0.00%,=
190,"Sentence Index=6, Syntagm Type=PP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
191,"Sentence Index=6, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
191,"Sentence Index=6, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
192,"Sentence Index=6, Syntagm Type=VP",2,Result,0,1,+1,+100.00%,↑
192,"Sentence Index=6, Syntagm Type=VP",2,Frequency,0.00%,16.67%,+16.67%,+100.00%,↑
193,"Sentence Index=7, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
193,"Sentence Index=7, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
194,"Sentence Index=7, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
194,"Sentence Index=7, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
195,"Sentence Index=7, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
195,"Sentence Index=7, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
196,"Sentence Index=8, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
196,"Sentence Index=8, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
197,"Sentence Index=8, Syntagm Type=VP",2,Result,0,1,+1,+100.00%,↑
197,"Sentence Index=8, Syntagm Type=VP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
198,"Sentence Index=9, Syntagm Type=NP",2,Result,5,0,-5,-100.00%,↓
198,"Sentence Index=9, Syntagm Type=NP",2,Frequency,250.00%,0.00%,-250.00%,-100.00%,↓
199,"Sentence Index=9, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
199,"Sentence Index=9, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
