Row,Combination,Features,Column,C,Python,Delta,Delta %,Direction
125,"Granularity=minimal, Syntagm Type=ADJP",2,Result,1,7,+6,+600.00%,↑
125,"Granularity=minimal, Syntagm Type=ADJP",2,Frequency,2.33%,16.28%,+13.95%,+598.71%,↑
126,"Granularity=minimal, Syntagm Type=ADVP",2,Result,3,14,+11,+366.67%,↑
126,"Granularity=minimal, Syntagm Type=ADVP",2,Frequency,6.00%,28.00%,+22.00%,+366.67%,↑
127,"Granularity=minimal, Syntagm Type=CONJP",2,Result,0,1,+1,+100.00%,↑
127,"Granularity=minimal, Syntagm Type=CONJP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
128,"Granularity=minimal, Syntagm Type=INTJ",2,Result,0,0,0,0.00%,=
128,"Granularity=minimal, Syntagm Type=INTJ",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
129,"Granularity=minimal, Syntagm Type=NP",2,Result,50,418,+368,+736.00%,↑
129,"Granularity=minimal, Syntagm Type=NP",2,Frequency,2.37%,19.81%,+17.44%,+735.86%,↑
130,"Granularity=minimal, Syntagm Type=PP",2,Result,0,1,+1,+100.00%,↑
130,"Granularity=minimal, Syntagm Type=PP",2,Frequency,0.00%,7.14%,+7.14%,+100.00%,↑
131,"Granularity=minimal, Syntagm Type=PRT",2,Result,0,7,+7,+100.00%,↑
131,"Granularity=minimal, Syntagm Type=PRT",2,Frequency,0.00%,30.43%,+30.43%,+100.00%,↑
132,"Granularity=minimal, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
132,"Granularity=minimal, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
133,"Granularity=minimal, Syntagm Type=SBAR",2,Result,1,32,+31,+3100.00%,↑
133,"Granularity=minimal, Syntagm Type=SBAR",2,Frequency,0.58%,18.50%,+17.92%,+3089.66%,↑
134,"Granularity=minimal, Syntagm Type=VP",2,Result,1,18,+17,+1700.00%,↑
134,"Granularity=minimal, Syntagm Type=VP",2,Frequency,1.05%,18.95%,+17.90%,+1704.76%,↑
135,"Granularity=minimal, Syntagm Type=WHADVP",2,Result,0,8,+8,+100.00%,↑
135,"Granularity=minimal, Syntagm Type=WHADVP",2,Frequency,0.00%,29.63%,+29.63%,+100.00%,↑
136,"Granularity=minimal, Syntagm Type=WHNP",2,Result,4,20,+16,+400.00%,↑
136,"Granularity=minimal, Syntagm Type=WHNP",2,Frequency,4.40%,21.98%,+17.58%,+399.55%,↑
137,"Sentence Index=0, Syntagm Type=ADJP",2,Result,2,1,-1,-50.00%,↓
137,"Sentence Index=0, Syntagm Type=ADJP",2,Frequency,8.70%,4.35%,-4.35%,-50.00%,↓
138,"Sentence Index=0, Syntagm Type=ADVP",2,Result,0,2,+2,+100.00%,↑
138,"Sentence Index=0, Syntagm Type=ADVP",2,Frequency,0.00%,6.45%,+6.45%,+100.00%,↑
139,"Sentence Index=0, Syntagm Type=CONJP",2,Result,0,1,+1,+100.00%,↑
139,"Sentence Index=0, Syntagm Type=CONJP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
140,"Sentence Index=0, Syntagm Type=INTJ",2,Result,0,0,0,0.00%,=
140,"Sentence Index=0, Syntagm Type=INTJ",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
141,"Sentence Index=0, Syntagm Type=NP",2,Result,35,244,+209,+597.14%,↑
141,"Sentence Index=0, Syntagm Type=NP",2,Frequency,1.97%,13.75%,+11.78%,+597.97%,↑
142,"Sentence Index=0, Syntagm Type=PP",2,Result,9,59,+50,+555.56%,↑
142,"Sentence Index=0, Syntagm Type=PP",2,Frequency,1.74%,11.43%,+9.69%,+556.90%,↑
143,"Sentence Index=0, Syntagm Type=PRT",2,Result,0,3,+3,+100.00%,↑
143,"Sentence Index=0, Syntagm Type=PRT",2,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
144,"Sentence Index=0, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
144,"Sentence Index=0, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
145,"Sentence Index=0, Syntagm Type=SBAR",2,Result,2,25,+23,+1150.00%,↑
145,"Sentence Index=0, Syntagm Type=SBAR",2,Frequency,1.10%,13.74%,+12.64%,+1149.09%,↑
146,"Sentence Index=0, Syntagm Type=VP",2,Result,13,49,+36,+276.92%,↑
146,"Sentence Index=0, Syntagm Type=VP",2,Frequency,3.37%,12.69%,+9.32%,+276.56%,↑
147,"Sentence Index=0, Syntagm Type=WHADVP",2,Result,0,4,+4,+100.00%,↑
147,"Sentence Index=0, Syntagm Type=WHADVP",2,Frequency,0.00%,21.05%,+21.05%,+100.00%,↑
148,"Sentence Index=0, Syntagm Type=WHNP",2,Result,2,15,+13,+650.00%,↑
148,"Sentence Index=0, Syntagm Type=WHNP",2,Frequency,2.63%,19.74%,+17.11%,+650.57%,↑
149,"Sentence Index=1, Syntagm Type=ADJP",2,Result,0,3,+3,+100.00%,↑
149,"Sentence Index=1, Syntagm Type=ADJP",2,Frequency,0.00%,27.27%,+27.27%,+100.00%,↑
150,"Sentence Index=1, Syntagm Type=ADVP",2,Result,3,3,0,0.00%,=
150,"Sentence Index=1, Syntagm Type=ADVP",2,Frequency,37.50%,37.50%,0.00%,0.00%,=
151,"Sentence Index=1, Syntagm Type=NP",2,Result,10,72,+62,+620.00%,↑
151,"Sentence Index=1, Syntagm Type=NP",2,Frequency,3.53%,25.44%,+21.91%,+620.68%,↑
152,"Sentence Index=1, Syntagm Type=PP",2,Result,2,15,+13,+650.00%,↑
152,"Sentence Index=1, Syntagm Type=PP",2,Frequency,3.03%,22.73%,+19.70%,+650.17%,↑
153,"Sentence Index=1, Syntagm Type=PRT",2,Result,0,3,+3,+100.00%,↑
153,"Sentence Index=1, Syntagm Type=PRT",2,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
154,"Sentence Index=1, Syntagm Type=SBAR",2,Result,0,5,+5,+100.00%,↑
154,"Sentence Index=1, Syntagm Type=SBAR",2,Frequency,0.00%,12.20%,+12.20%,+100.00%,↑
155,"Sentence Index=1, Syntagm Type=VP",2,Result,3,32,+29,+966.67%,↑
155,"Sentence Index=1, Syntagm Type=VP",2,Frequency,2.54%,27.12%,+24.58%,+967.72%,↑
156,"Sentence Index=1, Syntagm Type=WHADVP",2,Result,0,0,0,0.00%,=
156,"Sentence Index=1, Syntagm Type=WHADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
157,"Sentence Index=1, Syntagm Type=WHNP",2,Result,2,3,+1,+50.00%,↑
157,"Sentence Index=1, Syntagm Type=WHNP",2,Frequency,25.00%,37.50%,+12.50%,+50.00%,↑
158,"Sentence Index=2, Syntagm Type=ADJP",2,Result,0,3,+3,+100.00%,↑
158,"Sentence Index=2, Syntagm Type=ADJP",2,Frequency,0.00%,37.50%,+37.50%,+100.00%,↑
159,"Sentence Index=2, Syntagm Type=ADVP",2,Result,0,3,+3,+100.00%,↑
159,"Sentence Index=2, Syntagm Type=ADVP",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
160,"Sentence Index=2, Syntagm Type=NP",2,Result,4,76,+72,+1800.00%,↑
160,"Sentence Index=2, Syntagm Type=NP",2,Frequency,1.84%,35.02%,+33.18%,+1803.26%,↑
161,"Sentence Index=2, Syntagm Type=PP",2,Result,0,18,+18,+100.00%,↑
161,"Sentence Index=2, Syntagm Type=PP",2,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
162,"Sentence Index=2, Syntagm Type=PRT",2,Result,0,0,0,0.00%,=
162,"Sentence Index=2, Syntagm Type=PRT",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
163,"Sentence Index=2, Syntagm Type=QP",2,Result,0,0,0,0.00%,=
163,"Sentence Index=2, Syntagm Type=QP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
164,"Sentence Index=2, Syntagm Type=SBAR",2,Result,0,13,+13,+100.00%,↑
164,"Sentence Index=2, Syntagm Type=SBAR",2,Frequency,0.00%,34.21%,+34.21%,+100.00%,↑
165,"Sentence Index=2, Syntagm Type=VP",2,Result,1,36,+35,+3500.00%,↑
165,"Sentence Index=2, Syntagm Type=VP",2,Frequency,1.08%,38.71%,+37.63%,+3484.26%,↑
166,"Sentence Index=2, Syntagm Type=WHADVP",2,Result,0,4,+4,+100.00%,↑
166,"Sentence Index=2, Syntagm Type=WHADVP",2,Frequency,0.00%,80.00%,+80.00%,+100.00%,↑
167,"Sentence Index=2, Syntagm Type=WHNP",2,Result,0,1,+1,+100.00%,↑
167,"Sentence Index=2, Syntagm Type=WHNP",2,Frequency,0.00%,20.00%,+20.00%,+100.00%,↑
168,"Sentence Index=3, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
168,"Sentence Index=3, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
169,"Sentence Index=3, Syntagm Type=ADVP",2,Result,0,5,+5,+100.00%,↑
169,"Sentence Index=3, Syntagm Type=ADVP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
170,"Sentence Index=3, Syntagm Type=NP",2,Result,4,50,+46,+1150.00%,↑
170,"Sentence Index=3, Syntagm Type=NP",2,Frequency,3.51%,43.86%,+40.35%,+1149.57%,↑
171,"Sentence Index=3, Syntagm Type=PP",2,Result,0,11,+11,+100.00%,↑
171,"Sentence Index=3, Syntagm Type=PP",2,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
172,"Sentence Index=3, Syntagm Type=PRT",2,Result,0,1,+1,+100.00%,↑
172,"Sentence Index=3, Syntagm Type=PRT",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
173,"Sentence Index=3, Syntagm Type=SBAR",2,Result,0,6,+6,+100.00%,↑
173,"Sentence Index=3, Syntagm Type=SBAR",2,Frequency,0.00%,35.29%,+35.29%,+100.00%,↑
174,"Sentence Index=3, Syntagm Type=VP",2,Result,0,14,+14,+100.00%,↑
174,"Sentence Index=3, Syntagm Type=VP",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
175,"Sentence Index=3, Syntagm Type=WHADVP",2,Result,0,0,0,0.00%,=
175,"Sentence Index=3, Syntagm Type=WHADVP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
176,"Sentence Index=3, Syntagm Type=WHNP",2,Result,0,0,0,0.00%,=
176,"Sentence Index=3, Syntagm Type=WHNP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
177,"Sentence Index=4, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
177,"Sentence Index=4, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
178,"Sentence Index=4, Syntagm Type=ADVP",2,Result,0,3,+3,+100.00%,↑
178,"Sentence Index=4, Syntagm Type=ADVP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
179,"Sentence Index=4, Syntagm Type=NP",2,Result,0,17,+17,+100.00%,↑
179,"Sentence Index=4, Syntagm Type=NP",2,Frequency,0.00%,54.84%,+54.84%,+100.00%,↑
180,"Sentence Index=4, Syntagm Type=PP",2,Result,0,2,+2,+100.00%,↑
180,"Sentence Index=4, Syntagm Type=PP",2,Frequency,0.00%,33.33%,+33.33%,+100.00%,↑
181,"Sentence Index=4, Syntagm Type=SBAR",2,Result,0,2,+2,+100.00%,↑
181,"Sentence Index=4, Syntagm Type=SBAR",2,Frequency,0.00%,50.00%,+50.00%,+100.00%,↑
182,"Sentence Index=4, Syntagm Type=VP",2,Result,0,8,+8,+100.00%,↑
182,"Sentence Index=4, Syntagm Type=VP",2,Frequency,0.00%,42.11%,+42.11%,+100.00%,↑
183,"Sentence Index=4, Syntagm Type=WHNP",2,Result,0,1,+1,+100.00%,↑
183,"Sentence Index=4, Syntagm Type=WHNP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
184,"Sentence Index=5, Syntagm Type=ADJP",2,Result,0,0,0,0.00%,=
184,"Sentence Index=5, Syntagm Type=ADJP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
185,"Sentence Index=5, Syntagm Type=NP",2,Result,0,4,+4,+100.00%,↑
185,"Sentence Index=5, Syntagm Type=NP",2,Frequency,0.00%,40.00%,+40.00%,+100.00%,↑
186,"Sentence Index=5, Syntagm Type=PP",2,Result,0,1,+1,+100.00%,↑
186,"Sentence Index=5, Syntagm Type=PP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
187,"Sentence Index=5, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
187,"Sentence Index=5, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
188,"Sentence Index=5, Syntagm Type=VP",2,Result,0,3,+3,+100.00%,↑
188,"Sentence Index=5, Syntagm Type=VP",2,Frequency,0.00%,42.86%,+42.86%,+100.00%,↑
189,"Sentence Index=6, Syntagm Type=NP",2,Result,0,4,+4,+100.00%,↑
189,"Sentence Index=6, Syntagm Type=NP",2,Frequency,0.00%,44.44%,+44.44%,+100.00%,↑
190,"Sentence Index=6, Syntagm Type=PP",2,Result,0,0,0,0.00%,=
190,"Sentence Index=6, Syntagm Type=PP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
191,"Sentence Index=6, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
191,"Sentence Index=6, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
192,"Sentence Index=6, Syntagm Type=VP",2,Result,0,1,+1,+100.00%,↑
192,"Sentence Index=6, Syntagm Type=VP",2,Frequency,0.00%,16.67%,+16.67%,+100.00%,↑
193,"Sentence Index=7, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
193,"Sentence Index=7, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
194,"Sentence Index=7, Syntagm Type=SBAR",2,Result,0,0,0,0.00%,=
194,"Sentence Index=7, Syntagm Type=SBAR",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
195,"Sentence Index=7, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
195,"Sentence Index=7, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
196,"Sentence Index=8, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
196,"Sentence Index=8, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
197,"Sentence Index=8, Syntagm Type=VP",2,Result,0,1,+1,+100.00%,↑
197,"Sentence Index=8, Syntagm Type=VP",2,Frequency,0.00%,100.00%,+100.00%,+100.00%,↑
198,"Sentence Index=9, Syntagm Type=NP",2,Result,0,0,0,0.00%,=
198,"Sentence Index=9, Syntagm Type=NP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
199,"Sentence Index=9, Syntagm Type=VP",2,Result,0,0,0,0.00%,=
199,"Sentence Index=9, Syntagm Type=VP",2,Frequency,0.00%,0.00%,0.00%,0.00%,=
